UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2016,9,4180552,2134888,2045664,1547906,1477487,321925,312042,34738,33219,110438,106194,6321,6245,113560,110477,1652092,1578618,382575,371592,58349,56266,151947,146028,14631,14285,1591123,1522406,1080823,1027566,292863,284292,18033,17729,104405,100526,4289,4194,90710,88099,1164445,1108529,342236,332846,33502,32679,138924,133737,10416,10099,543765,523258,467083,449921,29062,27750,16705,15490,6033,5668,2032,2051,22850,22378,487647,470089,40339,38746,24847,23587,13023,12291,4215,4186
R,7,2016,10,4146511,2117935,2028576,1546158,1472091,313107,306303,34000,32778,109520,106423,6193,6013,108957,104968,1646053,1568285,370458,362108,57107,54939,149712,144685,14148,13619,1585459,1516233,1086717,1030195,285439,279451,18036,17575,103717,101044,4174,4075,87376,83893,1167133,1107374,332385,325073,33198,32024,137413,132973,10074,9659,532476,512343,459441,441896,27668,26852,15964,15203,5803,5379,2019,1938,21581,21075,478920,460911,38073,37035,23909,22915,12299,11712,4074,3960
R,7,2016,11,4134683,2110427,2024256,1545935,1473275,309753,301059,33585,32854,110654,109546,6162,6018,104338,101504,1641356,1565932,363953,354359,56327,54802,149431,146738,13780,13367,1588858,1522745,1095016,1040017,282881,275077,17988,17598,105073,104279,4193,4206,83707,81568,1171894,1114725,327230,318806,32936,31991,137654,135610,9837,9706,521569,501511,450919,433258,26872,25982,15597,15256,5581,5267,1969,1812,20631,19936,469462,451207,36723,35553,23391,22811,11777,11128,3943,3661
R,7,2016,12,4143954,2113357,2030597,1555478,1484372,307617,299621,32720,32158,110885,110478,5943,5745,100714,98223,1647607,1574188,359271,350583,55005,53917,148457,146658,13393,12972,1604938,1537691,1114697,1057378,281780,274545,17874,17344,105448,105347,4124,4004,81015,79073,1189121,1129919,324145,316425,32723,31968,137058,135788,9692,9355,508419,492906,440781,426994,25837,25076,14846,14814,5437,5131,1819,1741,19699,19150,458486,444269,35126,34158,22282,21949,11399,10870,3701,3617
R,7,2016,13,4114655,2097653,2017002,1546980,1477521,305906,298444,32461,31517,110456,110101,5899,5732,95951,93687,1634481,1563114,354927,346333,54374,53033,145967,144693,13190,12584,1598804,1532386,1114007,1056703,280555,274231,17625,17028,105198,104975,4091,4032,77328,75417,1184795,1125895,320844,313576,32316,31495,135136,134048,9542,9218,498849,484616,432973,420818,25351,24213,14836,14489,5258,5126,1808,1700,18623,18270,449686,437219,34083,32757,22058,21538,10831,10645,3648,3366
R,7,2016,14,4098691,2090027,2008664,1542003,1472365,311530,303341,32373,31226,106196,105267,5744,5603,92181,90862,1626058,1555002,358497,350230,54012,52871,139965,137990,12701,12399,1597133,1531158,1113461,1057279,286564,279262,17806,17160,101147,100394,4030,3928,74125,73135,1181303,1124101,325213,317824,32268,31749,129474,127855,9295,9060,492894,477506,428542,415086,24966,24079,14567,14066,5049,4873,1714,1675,18056,17727,444755,430901,33284,32406,21744,21122,10491,10135,3406,3339
R,7,2016,15,4201320,2144305,2057015,1579648,1507358,323108,313727,32552,31722,110419,108561,5775,5742,92803,89905,1664011,1589189,370215,359745,54833,53247,144389,141040,12837,12621,1647084,1576636,1146786,1088983,297979,289834,18214,17644,105386,103779,4110,4000,74609,72396,1214767,1155108,336635,327746,33342,32257,133985,131131,9418,9193,497221,480379,432862,418375,25129,23893,14338,14078,5033,4782,1665,1742,18194,17509,449244,434081,33580,31999,21491,20990,10404,9909,3419,3428
R,7,2016,16,4269247,2183202,2086045,1609528,1528818,333431,322532,33575,32248,109320,107603,6011,5653,91337,89191,1692673,1609601,379644,368471,56359,54357,142014,139269,12936,12453,1682847,1606740,1173468,1111494,308273,298462,18953,18091,104279,102814,4289,4035,73585,71844,1240644,1176765,346269,336253,34454,33250,131906,129414,9556,9177,500355,479305,436060,417324,25158,24070,14622,14157,5041,4789,1722,1618,17752,17347,452029,432836,33375,32218,21905,21107,10108,9855,3380,3276
R,7,2016,17,4210052,2153041,2057011,1592470,1513044,325885,315742,32545,31585,107193,105071,5910,5468,89038,86101,1673318,1591048,370543,359626,54997,53603,139106,135399,13012,12091,1666285,1590884,1168143,1106949,301364,292419,18493,17867,102204,100270,4202,3928,71879,69451,1233617,1170031,338175,328738,34031,33148,129091,125634,9620,8978,486756,466127,424327,406095,24521,23323,14052,13718,4989,4801,1708,1540,17159,16650,439701,421017,32368,30888,20966,20455,10015,9765,3392,3113
R,7,2016,18,4225961,2161993,2063968,1596653,1514331,328384,318420,32591,31659,112114,110321,5914,5553,86337,83684,1674793,1590222,371316,360620,54879,53373,142890,139669,12642,11923,1676737,1602782,1172810,1111891,304271,295545,18437,18090,107265,105515,4285,3993,69669,67748,1236022,1173524,339702,330464,33843,33312,133225,130234,9468,8869,485256,461186,423843,402440,24113,22875,14154,13569,4849,4806,1629,1560,16668,15936,438771,416698,31614,30156,21036,20061,9665,9435,3174,3054
R,7,2016,19,4251602,2173659,2077943,1605841,1524670,328306,319304,32465,31178,117354,115523,5843,5485,83850,81783,1681724,1598489,369207,359981,54782,53155,147538,144285,12476,11938,1687363,1618608,1180878,1123350,304274,296873,18279,17761,112484,110797,4196,3976,67252,65851,1241925,1182880,337666,330336,33660,33103,137930,135005,9273,8923,486296,459335,424963,401320,24032,22431,14186,13417,4870,4726,1647,1509,16598,15932,439799,415609,31541,29645,21122,20052,9608,9280,3203,3015
R,7,2016,20,4295659,2201612,2094047,1628290,1536856,329770,320949,32660,30957,122503,120049,5988,5713,82401,79523,1702747,1608589,369292,359836,55168,52905,152336,148386,12554,12131,1713159,1634795,1200524,1134922,306036,298695,18466,17674,117731,115322,4314,4128,66088,64054,1260372,1192840,338305,330574,33988,33030,142956,139223,9393,9142,488453,459252,427766,401934,23734,22254,14194,13283,4772,4727,1674,1585,16313,15469,442375,415749,30987,29262,21180,19875,9380,9163,3161,2989
R,7,2016,21,4396965,2257346,2139619,1661503,1564130,348391,336298,33418,31709,127061,123343,6140,5992,80833,78147,1734031,1634090,386598,374363,56252,53790,156391,151111,12949,12504,1760933,1675235,1226535,1157686,323959,313385,19047,18182,122086,118696,4434,4333,64872,62953,1284770,1214147,355052,344507,35034,33860,147025,142129,9711,9426,496413,464384,434968,406444,24432,22913,14371,13527,4975,4647,1706,1659,15961,15194,449261,419943,31546,29856,21218,19930,9366,8982,3238,3078
R,7,2016,22,4491533,2306672,2184861,1689038,1587613,364837,352352,34242,32608,133845,129034,6313,6190,78397,77064,1759003,1656317,400988,389103,57189,55293,162598,156423,13193,12774,1804930,1717141,1248664,1178176,340092,329119,19766,18902,129034,124325,4627,4545,62747,62074,1304674,1233567,369407,359189,35910,35108,153374,147461,9985,9667,501742,467720,440374,409437,24745,23233,14476,13706,4811,4709,1686,1645,15650,14990,454329,422750,31581,29914,21279,20185,9224,8962,3208,3107
R,7,2016,23,4563942,2347176,2216766,1713188,1606553,377184,361070,35628,33360,139220,135378,6634,6275,75322,74130,1780200,1672383,411129,395586,58401,56036,167044,161934,13309,12754,1842155,1749750,1270300,1197442,351810,337884,20502,19616,134407,130615,4828,4608,60308,59585,1323993,1250404,379196,365871,36529,35810,158158,153187,10090,9685,505021,467016,442888,409111,25374,23186,15126,13744,4813,4763,1806,1667,15014,14545,456207,421979,31933,29715,21872,20226,8886,8747,3219,3069
R,7,2016,24,4685284,2401494,2283790,1754159,1653486,383076,370884,37164,34159,146667,144896,6999,6469,73429,73896,1819042,1718641,414874,404226,60171,56765,174286,172452,13769,13233,1889792,1810005,1305865,1239515,357338,346345,21406,20244,141659,139909,5048,4753,58476,59239,1357512,1291809,382624,373151,37667,36387,165213,163324,10396,9979,511702,473785,448294,413971,25738,24539,15758,13915,5008,4987,1951,1716,14953,14657,461530,426832,32250,31075,22504,20378,9073,9128,3373,3254
R,7,2016,25,4769325,2430546,2338779,1776592,1690644,384042,378313,37151,33766,155372,156976,7715,6881,69674,72199,1837301,1753653,413435,410706,59034,55752,182705,184761,14687,13844,1924232,1871057,1334713,1283820,357547,352884,21216,20050,150012,151610,5659,5089,55085,57604,1382567,1334023,380652,378716,36525,35595,173308,175199,11144,10622,506314,467722,441879,406824,26495,25429,15935,13716,5360,5366,2056,1792,14589,14595,454734,419630,32783,31990,22509,20157,9397,9562,3543,3222
