UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,8,2016,20,4292499,2199302,2093197,1626264,1535762,329189,320673,32660,30956,122624,120318,6005,5680,82560,79808,1700882,1607717,368784,359757,55173,52879,152503,148776,12590,12132,1710667,1633839,1198426,1133746,305430,298463,18438,17646,117834,115576,4333,4110,66206,64298,1258400,1191852,337747,330541,33934,32963,143121,139573,9425,9150,488635,459358,427838,402016,23759,22210,14222,13310,4790,4742,1672,1570,16354,15510,442482,415865,31037,29216,21239,19916,9382,9203,3165,2982
R,8,2016,21,4393612,2255455,2138157,1660356,1563313,347214,335086,33402,31674,127265,123749,6139,5997,81079,78338,1733150,1633502,385582,373290,56223,53727,156705,151577,12920,12525,1758606,1673155,1224979,1156356,322766,312105,19025,18183,122326,119073,4434,4343,65076,63095,1283430,1213002,354003,343326,34993,33814,147354,142559,9700,9446,496849,465002,435377,406957,24448,22981,14377,13491,4939,4676,1705,1654,16003,15243,449720,420500,31579,29964,21230,19913,9351,9018,3220,3079
R,8,2016,22,4478853,2299923,2178930,1683871,1583565,363149,350592,34072,32460,133878,129008,6277,6183,78676,77122,1754117,1652346,399531,387436,57062,55105,162662,156413,13169,12735,1799195,1711986,1244511,1174838,338423,327446,19624,18742,129045,124323,4599,4530,62993,62107,1300766,1230278,367940,357579,35790,34901,153438,147478,9969,9638,500728,466944,439360,408727,24726,23146,14448,13718,4833,4685,1678,1653,15683,15015,453351,422068,31591,29857,21272,20204,9224,8935,3200,3097
R,8,2016,23,4561483,2345525,2215958,1711996,1605427,376394,360899,35474,33336,139550,135670,6642,6260,75469,74366,1779161,1671480,410479,395649,58163,56024,167461,162253,13320,12742,1840418,1748596,1268972,1196072,351064,337659,20403,19582,134732,130906,4829,4603,60418,59774,1322789,1249219,378560,365847,36379,35796,158517,153481,10078,9671,505107,467362,443024,409355,25330,23240,15071,13754,4818,4764,1813,1657,15051,14592,456372,422261,31919,29802,21784,20228,8944,8772,3242,3071
R,8,2016,24,4675111,2397729,2277382,1751209,1648960,382415,369387,37091,34093,146426,144692,6936,6461,73652,73789,1816349,1714111,414392,402684,60128,56705,174081,172117,13671,13159,1885984,1803668,1302785,1234726,356692,345080,21373,20178,141448,139751,5014,4738,58672,59195,1354652,1287048,382138,371885,37650,36345,165050,163073,10329,9920,511745,473714,448424,414234,25723,24307,15718,13915,4978,4941,1922,1723,14980,14594,461697,427063,32254,30799,22478,20360,9031,9044,3342,3239
R,8,2016,25,4766829,2429225,2337604,1774575,1688762,384409,378667,37199,33779,155336,156962,7707,6839,69999,72595,1835601,1752100,414036,411263,59132,55836,182703,184905,14718,13849,1922564,1868913,1332334,1281080,357969,353181,21267,20074,149999,151604,5655,5055,55340,57919,1380456,1331545,381284,379170,36609,35657,173285,175336,11170,10623,506661,468691,442241,407682,26440,25486,15932,13705,5337,5358,2052,1784,14659,14676,455145,420555,32752,32093,22523,20179,9418,9569,3548,3226
R,8,2016,26,4771336,2425704,2345632,1779957,1696967,376331,375578,36446,33095,159677,164287,7878,7110,65415,68595,1837051,1756971,403217,405695,57094,54374,185808,190630,14446,13667,1922767,1884874,1340428,1296193,350235,350022,20545,19736,154320,159110,5679,5290,51560,54523,1385293,1343783,371162,373804,34960,34692,176615,181596,10841,10483,502937,460758,439529,400774,26096,25556,15901,13359,5357,5177,2199,1820,13855,14072,451758,413188,32055,31891,22134,19682,9193,9034,3605,3184
R,8,2016,27,4587704,2330590,2257114,1717244,1632097,351168,355187,34654,31296,159521,168175,7647,6788,60356,63571,1769900,1687460,375505,382620,54134,51020,183501,193116,13712,13028,1851624,1822219,1298387,1253422,326643,331083,19333,18633,154499,163155,5560,5112,47202,50814,1339463,1297523,345253,352813,32742,32626,174988,184606,10387,10094,478966,434895,418857,378675,24525,24104,15321,12663,5022,5020,2087,1676,13154,12757,430437,389937,30252,29807,21392,18394,8513,8510,3325,2934
R,8,2016,28,4483991,2273423,2210568,1690891,1611333,328017,335326,34008,30484,155952,166327,7566,6785,56989,60313,1740407,1663920,350393,360995,52346,49291,179098,190174,13500,12749,1795969,1781033,1272061,1236862,304612,311903,18604,17822,151160,161538,5446,5094,44086,47814,1310232,1278501,321454,331867,30956,31035,170893,181962,10098,9868,477454,429535,418830,374471,23405,23423,15404,12662,4792,4789,2120,1691,12903,12499,430175,385419,28939,29128,21390,18256,8205,8212,3402,2881
R,8,2016,29,4392418,2226879,2165539,1668951,1585779,311746,321853,32750,29422,152595,163763,7476,6658,53361,58064,1715291,1636394,332587,346283,50395,47961,174153,186715,13041,12347,1757497,1742391,1256045,1216359,289417,299092,17735,17174,147883,159147,5328,4943,41089,45676,1291521,1256054,304960,317923,29628,30075,166269,178830,9760,9473,469382,423148,412906,369420,22329,22761,15015,12248,4712,4616,2148,1715,12272,12388,423770,380340,27627,28360,20767,17886,7884,7885,3281,2874
R,8,2016,30,4406361,2231666,2174695,1681455,1600539,304386,317769,32597,29434,153674,164799,7522,6734,52032,55420,1726635,1648539,324127,340687,49969,47681,174800,186664,13112,12349,1757329,1749814,1263957,1229086,281906,294887,17202,16934,148998,160269,5338,5078,39928,43560,1298489,1266674,296425,312508,28878,29779,166962,178951,9761,9577,474337,424881,417498,371453,22480,22882,15395,12500,4676,4530,2184,1656,12104,11860,428146,381865,27702,28179,21091,17902,7838,7713,3351,2772
R,8,2016,31,4439491,2241825,2197666,1694980,1620263,301793,318292,32208,29348,154904,168218,7442,6721,50498,54824,1738767,1667851,320600,340196,49497,47612,175404,190248,12903,12355,1763811,1768343,1273841,1244569,279430,295364,16752,16856,150310,163655,5219,5085,38259,42814,1306781,1281578,293025,311844,28217,29651,167707,182531,9529,9597,478014,429323,421139,375694,22363,22928,15456,12492,4594,4563,2223,1636,12239,12010,431986,386273,27575,28352,21280,17961,7697,7717,3374,2758
R,8,2016,32,4313295,2169171,2144124,1641735,1581276,287083,307280,31451,28679,153447,167612,7111,6471,48344,52806,1683589,1626976,304844,327837,48206,46678,173209,189127,12409,12035,1706515,1721865,1234111,1211273,265568,285203,16351,16352,148878,163212,5027,4807,36580,41018,1265577,1246639,278328,300519,27491,28911,165631,181540,9196,9242,462656,422259,407624,370003,21515,22077,15100,12327,4569,4400,2084,1664,11764,11788,418012,380337,26516,27318,20715,17767,7578,7587,3213,2793
R,8,2016,33,4349944,2183318,2166626,1656937,1599124,287138,309957,31748,29041,152015,169221,7144,6586,48336,52697,1698772,1644595,304801,330351,48625,47395,171696,190458,12421,12184,1715958,1737881,1244734,1223953,265688,287029,16350,16457,147487,164732,5072,4906,36627,40804,1276190,1258968,278298,302178,27683,29230,164170,182850,9250,9370,467360,428745,412203,375171,21450,22928,15398,12584,4528,4489,2072,1680,11709,11893,422582,385627,26503,28173,20942,18165,7526,7608,3171,2814
R,8,2016,34,4363006,2185379,2177627,1661961,1608476,286162,311833,31222,28607,151607,170478,7176,6544,47251,51689,1702817,1653013,303311,332056,48122,46891,170590,190976,12434,12019,1715751,1743116,1247462,1227409,264680,289043,16092,15962,146995,165836,5057,4809,35465,40057,1277876,1261739,276833,304106,27343,28773,162926,183274,9211,9195,469628,434511,414499,381067,21482,22790,15130,12645,4612,4642,2119,1735,11786,11632,424941,391274,26478,27950,20779,18118,7664,7702,3223,2824
R,8,2016,35,4307834,2153688,2154146,1644011,1594619,281772,309074,30204,28488,144550,165348,6926,6121,46225,50496,1683796,1638193,298552,328962,46935,46443,163046,185078,12066,11474,1693414,1725020,1237144,1218164,261138,286675,15410,16000,140006,160849,4887,4479,34829,38853,1266896,1251485,273053,301300,26635,28493,155624,177642,8938,8776,460274,429126,406867,376455,20634,22399,14794,12488,4544,4499,2039,1642,11396,11643,416900,386708,25499,27662,20300,17950,7422,7436,3128,2698
R,8,2016,36,4394705,2204811,2189894,1678898,1615607,294332,321156,31270,28845,146993,167451,7112,6392,46206,50443,1718728,1659049,311089,340975,48400,47041,165253,187063,12308,11824,1725824,1751119,1255600,1230130,272877,298420,15848,16149,142270,162941,4923,4739,34306,38740,1284903,1263222,284564,312954,27234,28885,157470,179570,9031,9104,478987,438775,423298,385477,21455,22736,15422,12696,4723,4510,2189,1653,11900,11703,433825,395827,26525,28021,21166,18156,7783,7493,3277,2720
R,8,2016,37,4146929,2071666,2075263,1579667,1531421,274019,303360,28940,26853,140155,160845,6287,5856,42598,46928,1616383,1571733,289336,321603,44738,43910,156957,179214,11086,10808,1631435,1662419,1190052,1168922,254395,281880,14934,14896,135892,156632,4379,4291,31783,35798,1217185,1199455,265112,295021,25452,26760,150026,172186,8156,8265,440231,412844,389615,362499,19624,21480,14006,11957,4263,4213,1908,1565,10815,11130,399198,372278,24224,26582,19286,17150,6931,7028,2930,2543
R,8,2016,38,4039805,2014488,2025317,1541675,1500267,262465,291900,27935,26467,135556,156019,6070,5562,40787,45102,1576658,1538892,276947,309187,43283,43250,151795,173673,10462,10254,1581567,1616335,1157524,1140418,243660,271187,14338,14604,131387,151758,4325,4082,30333,34286,1183228,1169524,253779,283578,24578,26249,144986,166742,7786,7855,432921,408982,384151,359849,18805,20713,13597,11863,4169,4261,1745,1480,10454,10816,393430,369368,23168,25609,18705,17001,6809,6931,2676,2399
R,8,2016,39,4010025,1994112,2015913,1527835,1494456,258248,289772,28086,26294,134559,155960,5958,5597,39426,43834,1561735,1531821,272063,306373,43181,42853,150135,173220,10297,10288,1566278,1606351,1147907,1132855,240074,269353,14590,14856,130276,151795,4201,4076,29230,33416,1172739,1161091,249545,281294,24740,26456,143289,166377,7604,7814,427834,409562,379928,361601,18174,20419,13496,11438,4283,4165,1757,1521,10196,10418,388996,370730,22518,25079,18441,16397,6846,6843,2693,2474
R,8,2016,40,3880224,1929189,1951035,1475145,1446699,247595,277403,27078,25309,135939,155255,5568,5313,37864,41056,1507706,1481616,260445,292717,41665,41017,151123,171546,9804,9669,1510963,1548277,1103046,1090236,229988,257678,13942,13995,131885,151163,3996,3900,28106,31305,1126928,1116598,238713,268644,23728,25025,144701,164963,7343,7411,418226,402758,372099,356463,17607,19725,13136,11314,4054,4092,1572,1413,9758,9751,380778,365018,21732,24073,17937,15992,6422,6583,2461,2258
R,8,2016,41,3984101,1984661,1999440,1521885,1486258,253353,283614,27025,25721,140760,159019,5643,5125,35995,39703,1552539,1519996,265500,298094,41134,41026,155219,174904,9675,9263,1562876,1594764,1144607,1126386,236370,264644,13901,14362,136756,155065,4085,3791,27157,30516,1167459,1152063,244868,275025,23550,25183,149086,168669,7332,7122,421785,404676,377278,359872,16983,18970,13124,11359,4004,3954,1558,1334,8838,9187,385080,367933,20632,23069,17584,15843,6133,6235,2343,2141
R,8,2016,42,3885742,1928776,1956966,1479942,1456235,244719,276287,26387,24890,138321,156677,5157,5015,34250,37862,1509065,1488192,256134,290031,40056,39788,152034,171747,9023,9030,1524571,1563788,1117428,1105385,228985,258314,13664,14045,134679,152930,3764,3731,26051,29383,1139349,1129908,237010,268361,23118,24763,146453,165918,6899,6978,404205,393178,362514,350850,15734,17973,12723,10845,3642,3747,1393,1284,8199,8479,369716,358284,19124,21670,16938,15025,5581,5829,2124,2052
R,8,2016,43,3917088,1937254,1979834,1485971,1472532,248839,282559,25857,25085,137874,157441,5020,4956,33693,37261,1514532,1503909,259781,295953,39473,39978,151449,172286,8779,8885,1543457,1592686,1132381,1126906,233640,265023,13660,14319,134316,153679,3683,3718,25777,29041,1153982,1151082,241314,274819,23221,25205,146044,166488,6735,6907,393797,387148,353590,345626,15199,17536,12197,10766,3558,3762,1337,1238,7916,8220,360550,352827,18467,21134,16252,14773,5405,5798,2044,1978
R,8,2016,44,4084710,2022448,2062262,1561533,1545190,258193,292019,26377,25099,137819,157795,5016,4897,33510,37262,1589806,1576577,268872,305110,40428,40496,151077,172374,8791,8859,1631632,1678096,1210316,1201815,243291,274802,14192,14551,134205,154129,3696,3651,25932,29148,1231923,1226082,250944,284369,24316,25886,145672,166804,6759,6905,390816,384166,351217,343375,14902,17217,12185,10548,3614,3666,1320,1246,7578,8114,357883,350495,17928,20741,16112,14610,5405,5570,2032,1954
R,8,2016,45,4314224,2135143,2179081,1667398,1651677,267307,304785,26662,25959,134452,153645,5009,4938,34315,38077,1696420,1683744,278150,318023,41346,42085,147818,168167,8977,9152,1747952,1797609,1319339,1311060,252581,287625,14785,15193,130815,150004,3675,3705,26757,30022,1341736,1336078,260335,297380,25541,27324,142390,162563,6918,7185,387191,381472,348059,340617,14726,17160,11877,10766,3637,3641,1334,1233,7558,8055,354684,347666,17815,20643,15805,14761,5428,5604,2059,1967
R,8,2016,46,4391401,2180711,2210690,1708114,1684458,271457,303683,26950,25782,135145,154281,5114,5080,33931,37406,1736765,1715753,282140,316564,41677,41961,148067,168553,9138,9317,1791373,1834935,1358237,1348517,256542,287060,14813,15430,131548,150582,3805,3862,26428,29484,1380282,1372925,264220,296584,25629,27580,142689,162859,7130,7372,389338,375755,349877,335941,14915,16623,12137,10352,3597,3699,1309,1218,7503,7922,356483,342828,17920,19980,16048,14381,5378,5694,2008,1945
R,8,2016,47,4179026,2072773,2106253,1631381,1614312,252219,282994,25483,24520,127488,145258,4759,4733,31443,34436,1658000,1643165,261721,294430,39572,39937,139419,158211,8395,8571,1707429,1752651,1302614,1297981,238358,267467,14357,14704,124186,141803,3574,3579,24340,27117,1322997,1320475,244976,275766,24721,26355,134491,153013,6564,6747,365344,353602,328767,316331,13861,15527,11126,9816,3302,3455,1185,1154,7103,7319,335003,322690,16745,18664,14851,13582,4928,5198,1831,1824
R,8,2016,48,4068728,2015199,2053529,1584243,1571290,250870,282154,24739,23888,121367,139129,4517,4464,29463,32604,1608980,1598370,259685,292943,38270,38699,132461,151262,7957,8343,1662007,1711214,1266602,1264701,237062,266983,13903,14593,118274,135936,3355,3362,22811,25639,1285491,1285713,243199,274780,23946,25872,127845,146437,6206,6598,353192,342315,317641,306589,13808,15171,10836,9295,3093,3193,1162,1102,6652,6965,323489,312657,16486,18163,14324,12827,4616,4825,1751,1745
R,8,2016,49,4069948,2009755,2060193,1591389,1589503,249252,282596,24022,23834,112061,128196,4561,4418,28470,31646,1615291,1615805,257665,293305,37421,38546,122560,139470,7933,8100,1671035,1729179,1286345,1293140,236146,267740,13942,14912,109027,125152,3418,3340,22157,24895,1304690,1313562,241991,275486,23971,26162,118098,134870,6264,6436,338720,331014,305044,296363,13106,14856,10080,8922,3034,3044,1143,1078,6313,6751,310601,302243,15674,17819,13450,12384,4462,4600,1669,1664
R,8,2016,50,4127734,2037991,2089743,1610777,1610991,257735,290803,24344,24060,112438,128180,4465,4440,28232,31269,1634197,1636887,266142,301105,37940,39004,122613,139302,7917,8123,1703938,1764593,1310224,1319976,244416,276233,14317,15271,109547,125086,3393,3425,22041,24602,1328224,1340098,250244,283641,24686,26801,118301,134628,6294,6492,334053,325150,300553,291015,13319,14570,10027,8789,2891,3094,1072,1015,6191,6667,305973,296789,15898,17464,13254,12203,4312,4674,1623,1631
R,8,2016,51,4364490,2152786,2211704,1709045,1714652,270206,304555,25379,25245,114436,130302,4689,4649,29031,32301,1733252,1741344,278579,315067,39585,40960,124876,141550,8211,8481,1817035,1884348,1406773,1421508,257040,289861,15360,16456,111496,127245,3625,3633,22741,25645,1425453,1442418,262880,297502,26149,28767,120561,136945,6573,6850,335751,327356,302272,293144,13166,14694,10019,8789,2940,3057,1064,1016,6290,6656,307799,298926,15699,17565,13436,12193,4315,4605,1638,1631
R,8,2016,52,4465200,2193255,2271945,1751766,1772976,268579,304841,25223,25416,114173,132066,4464,4557,29050,32089,1775901,1799448,276769,314781,39838,41566,124488,143236,8033,8365,1873513,1953760,1464053,1487997,255884,290491,15630,16720,111449,129214,3466,3573,23031,25765,1482943,1508951,261645,297752,27008,29643,120403,138904,6458,6796,319742,318185,287713,284979,12695,14350,9593,8696,2724,2852,998,984,6019,6324,292958,290497,15124,17029,12830,11923,4085,4332,1575,1569
R,8,2016,53,4456930,2183376,2273554,1747830,1781393,263643,299774,24726,24923,114320,131256,4256,4456,28601,31752,1771646,1807482,271497,309671,39216,41105,124461,142041,7663,8216,1880444,1968508,1475114,1508296,251705,286217,15655,16560,111665,128388,3325,3532,22980,25515,1494038,1528986,257274,293474,27105,29519,120558,137709,6245,6699,302932,305046,272716,273097,11938,13557,9071,8363,2655,2868,931,924,5621,6237,277608,278496,14223,16197,12111,11586,3903,4332,1418,1517
R,8,2016,54,4445128,2174229,2270899,1752987,1793264,259342,296416,24011,24739,105460,120854,4375,4456,28054,31170,1776430,1818806,266828,306112,38302,40961,115410,131329,7820,8159,1884097,1978010,1491507,1530852,248034,283677,15399,16599,102994,118138,3491,3543,22672,25201,1510257,1551272,253372,290800,26815,29717,111699,127214,6423,6642,290132,292889,261480,262412,11308,12739,8612,8140,2466,2716,884,913,5382,5969,266173,267534,13456,15312,11487,11244,3711,4115,1397,1517
R,8,2016,55,4485288,2187852,2297436,1774442,1823466,257386,296437,23433,24674,100667,118091,4157,4260,27767,30508,1797550,1848461,264737,305661,37881,40932,110460,128237,7501,7887,1911914,2015601,1525864,1570842,246681,283963,15266,17083,98248,115478,3322,3424,22533,24811,1544387,1590929,251962,290830,26875,30317,106819,124268,6158,6468,275938,281835,248578,252624,10705,12474,8167,7591,2419,2613,835,836,5234,5697,253163,257532,12775,14831,11006,10615,3641,3969,1343,1419
R,8,2016,56,4533026,2213554,2319472,1787984,1833212,264112,302652,23732,24821,105801,124026,4212,4307,27713,30454,1811165,1858053,271393,312028,38171,40962,115512,134147,7510,7905,1936436,2037799,1538351,1580712,253263,290206,15510,17237,103403,121409,3362,3481,22547,24754,1557007,1600634,258487,297181,27158,30392,111959,130162,6149,6528,277118,281673,249633,252500,10849,12446,8222,7584,2398,2617,850,826,5166,5700,254158,257419,12906,14847,11013,10570,3553,3985,1361,1377
R,8,2016,57,4391686,2136488,2255198,1735124,1792121,251014,290929,22041,23323,98358,116189,3877,3955,26074,28681,1756832,1815713,257761,299484,35882,38944,107478,125497,6889,7205,1884888,1995631,1508441,1559374,241069,279404,14691,16274,96165,113791,3135,3228,21387,23560,1526105,1578544,245949,285788,25975,29180,104192,121934,5696,6010,251600,259567,226683,232747,9945,11525,7350,7049,2193,2398,742,727,4687,5121,230727,237169,11812,13696,9907,9764,3286,3563,1193,1195
R,8,2016,58,4335755,2102623,2233132,1713615,1782358,241398,280652,20939,22515,97947,116152,3637,3827,25087,27628,1734437,1804934,247902,288963,34444,37693,106586,125087,6524,6897,1868243,1986914,1502702,1561340,231822,269746,14170,16006,95929,113985,2942,3104,20678,22733,1519699,1579729,236565,275963,25293,28559,103584,121773,5388,5736,234380,246218,210913,221018,9576,10906,6769,6509,2018,2167,695,723,4409,4895,214738,225205,11337,13000,9151,9134,3002,3314,1136,1161
R,8,2016,59,4298491,2076675,2221816,1697175,1776939,236315,279237,20737,21929,94635,113270,3536,3601,24277,26840,1717300,1798963,242663,287198,34051,37170,102799,121485,6308,6654,1851338,1982509,1494389,1561872,227204,268738,13979,15632,92715,111220,2898,2905,20153,22142,1510928,1579824,231907,274713,25006,28364,100001,118353,5289,5503,225337,239307,202786,215067,9111,10499,6758,6297,1920,2050,638,696,4124,4698,206372,219139,10756,12485,9045,8806,2798,3132,1019,1151
R,8,2016,60,4147016,1995980,2151036,1633049,1719729,224578,268362,19456,21160,92581,112484,3286,3473,23030,25828,1652219,1740854,230506,275975,32079,35875,100243,120504,5953,6349,1783312,1922512,1441757,1514340,215940,258378,13161,15266,90729,110341,2679,2884,19046,21303,1457461,1531569,220240,264074,23584,27572,97527,117308,4974,5327,212668,228524,191292,205389,8638,9984,6295,5894,1852,2143,607,589,3984,4525,194758,209285,10266,11901,8495,8303,2716,3196,979,1022
R,8,2016,61,4093310,1966241,2127069,1614296,1707527,216504,259405,18744,20085,91314,112197,3161,3402,22222,24453,1632642,1727427,222216,266634,31084,33894,98696,119854,5761,6208,1761615,1905376,1429616,1507370,208259,250126,12960,14576,89560,110239,2617,2797,18603,20268,1444825,1523621,212485,255583,23325,26161,96156,116954,4868,5219,204626,221693,184680,200157,8245,9279,5784,5509,1754,1958,544,605,3619,4185,187817,203806,9731,11051,7759,7733,2540,2900,893,989
R,8,2016,62,3937604,1880987,2056617,1553584,1660008,201022,245921,17266,18849,85701,105763,2913,3153,20501,22923,1570668,1678653,206225,252645,28902,32133,92347,112639,5157,5791,1694792,1851276,1385281,1474319,193436,237467,12159,13874,84198,103933,2431,2593,17287,19090,1399562,1489643,197295,242540,22057,25098,90129,109992,4401,4887,186195,205341,168303,185689,7586,8454,5107,4975,1503,1830,482,560,3214,3833,171106,189010,8930,10105,6845,7035,2218,2647,756,904
R,8,2016,63,3773367,1796753,1976614,1491927,1604374,185614,229751,16092,17519,81248,100428,2759,2887,19113,21655,1507811,1622076,190290,235984,26988,30137,87461,106991,4919,5364,1625044,1785434,1336651,1431243,178757,221805,11367,13005,79782,98810,2320,2413,16167,18158,1349984,1445890,182225,226565,20646,23743,85350,104575,4209,4579,171709,191180,155276,173131,6857,7946,4725,4514,1466,1618,439,474,2946,3497,157827,176186,8065,9419,6342,6394,2111,2416,710,785
R,8,2016,64,3635085,1728370,1906715,1442481,1552618,173588,218508,14737,16483,77310,96459,2602,2779,17652,19868,1457105,1568890,177982,224176,24944,28286,82912,102271,4676,5056,1569621,1728609,1298548,1391341,167375,211051,10574,12258,75961,94920,2203,2338,14960,16701,1310828,1404845,170682,215370,19275,22373,80987,100029,4007,4302,158749,178106,143933,161277,6213,7457,4163,4225,1349,1539,399,441,2692,3167,146277,164045,7300,8806,5669,5913,1925,2242,669,754
R,8,2016,65,3503912,1659220,1844692,1385553,1500840,167876,214355,14158,15746,72567,92253,2353,2560,16713,18938,1399397,1516291,172007,219926,24038,27105,77712,97629,4281,4710,1507556,1673585,1247752,1345987,161967,207179,10284,11667,71347,90727,2014,2156,14192,15869,1259398,1358744,165081,211434,18756,21400,75949,95419,3721,4016,151664,171107,137801,154853,5909,7176,3874,4079,1220,1526,339,404,2521,3069,139999,157547,6926,8492,5282,5705,1763,2210,560,694
R,8,2016,66,3411650,1613984,1797666,1342758,1458428,162762,207612,13793,15084,76099,95779,2389,2506,16183,18257,1356152,1473215,166822,212994,23404,25855,81033,101197,4265,4646,1469577,1630655,1211668,1307067,157038,200424,10126,11349,74953,94341,2008,2131,13784,15343,1222993,1319345,160124,204526,18366,20594,79362,99066,3682,3988,144407,167011,131090,151361,5724,7188,3667,3735,1146,1438,381,375,2399,2914,133159,153870,6698,8468,5038,5261,1671,2131,583,658
R,8,2016,67,3310890,1562479,1748411,1312445,1432600,149351,193340,12935,14080,70550,88837,2271,2422,14927,17132,1324837,1446630,152941,198265,21897,24457,75061,93617,4018,4349,1429807,1594402,1191793,1292566,144256,186916,9568,10683,69474,87609,1932,2053,12784,14575,1202334,1304393,146976,190728,17360,19729,73488,91812,3458,3739,132672,154009,120652,140034,5095,6424,3367,3397,1076,1228,339,369,2143,2557,122503,142237,5965,7537,4537,4728,1573,1805,560,610
R,8,2016,68,3256122,1534179,1721943,1299159,1423548,140047,182741,12029,13374,66730,83576,2043,2234,14171,16470,1310932,1437119,143524,187325,20584,23365,70903,88190,3673,4105,1408618,1574985,1184856,1289786,135205,176808,9001,10194,65733,82364,1733,1898,12090,13935,1194802,1301130,137874,180333,16396,18848,69441,86412,3186,3537,125561,146958,114303,133762,4842,5933,3028,3180,997,1212,310,336,2081,2535,116130,135989,5650,6992,4188,4517,1462,1778,487,568
R,8,2016,69,3393726,1597904,1795822,1376129,1513704,131563,172322,12068,12983,61896,78340,1951,1991,14297,16482,1388119,1527426,134954,176900,20985,23253,65851,82726,3580,3753,1479491,1655159,1268123,1385328,127219,166794,9135,10031,60991,77186,1670,1691,12353,14129,1278429,1396978,129850,170387,16998,19026,64473,81066,3106,3263,118413,140663,108006,128376,4344,5528,2933,2952,905,1154,281,300,1944,2353,109690,130448,5104,6513,3987,4227,1378,1660,474,490
R,8,2016,70,2548273,1191300,1356973,1011933,1125666,103722,139136,9250,10401,53577,66990,1790,1799,11028,12981,1021173,1136373,106353,142683,15813,18055,56870,70790,3127,3343,1089639,1233262,919194,1012919,99795,133997,6829,7873,52823,66013,1549,1546,9449,10914,927073,1021821,101776,136688,12549,14428,55763,69345,2723,2922,101661,123711,92739,112747,3927,5139,2421,2528,754,977,241,253,1579,2067,94100,114552,4577,5995,3264,3627,1107,1445,404,421
R,8,2016,71,2445229,1136146,1309083,965010,1085788,99852,135797,8639,9916,50692,63662,1572,1726,10381,12194,973685,1095867,102308,139127,14821,17144,53767,67174,2900,3183,1040447,1192511,877545,979167,96323,131180,6455,7574,49925,62756,1344,1477,8855,10357,884871,987648,98175,133719,11812,13847,52659,65848,2521,2762,95699,116572,87465,106621,3529,4617,2184,2342,767,906,228,249,1526,1837,88814,108219,4133,5408,3009,3297,1108,1326,379,421
R,8,2016,72,2373986,1096346,1277640,937996,1069256,92186,126911,8021,9203,47134,59063,1442,1549,9567,11658,946020,1078885,94390,130153,13754,16261,49944,62273,2641,2960,1010561,1169411,859498,970174,88903,122748,6073,7036,46534,58200,1256,1329,8297,9924,866404,978306,90614,125266,11146,13179,49052,61017,2331,2585,85785,108229,78498,99082,3283,4163,1948,2167,600,863,186,220,1270,1734,79616,100579,3776,4887,2608,3082,892,1256,310,375
R,8,2016,73,2421346,1112873,1308473,963242,1108777,88117,124543,7469,8772,43658,53710,1278,1394,9109,11277,970940,1118177,90202,127583,13084,15693,46160,56729,2385,2690,1032917,1204933,889945,1014192,85110,120310,5796,6722,43048,52942,1122,1187,7896,9580,896613,1022127,86697,122600,10789,12783,45253,55570,2097,2344,79956,103540,73297,94585,3007,4233,1673,2050,610,768,156,207,1213,1697,74327,96050,3505,4983,2295,2910,907,1159,288,346
R,8,2016,74,2113803,964308,1149495,828604,966885,78404,111588,6708,7804,41353,52118,1106,1300,8133,9800,835382,975035,80305,114206,11697,13808,43682,54789,2062,2389,892638,1056288,762854,881355,75716,108043,5211,5987,40841,51412,953,1081,7063,8410,768709,888286,77199,110072,9631,11260,42917,53776,1797,2061,71670,93207,65750,85530,2688,3545,1497,1817,512,706,153,219,1070,1390,66673,86749,3106,4134,2066,2548,765,1013,265,328
