FIPS 10-4, ISO 3166-1 A2, ISO 3166-1 A3, ISO 3166-1 N3, Country Inclusive
TN,TO,TON,776,
TD,TT,TTO,780,
TE,,,,FR
TS,TN,TUN,788,
TU,TR,TUR,792,
TX,TM,TKM,795,
TK,TC,TCA,796,
TV,TV,TUV,798,
UG,UG,UGA,800,
UP,UA,UKR,804,
AE,AE,ARE,784,
UK,GB,GBR,826,
US,US,USA,840,
,UM,UMI,581,
UY,UY,URY,858,
UZ,UZ,UZB,860,
NH,VU,VUT,548,
VE,VE,VEN,862,
VM,VN,VNM,704,
VQ,VI,VIR,850,
WQ,,,,UM
WF,WF,WLF,876,
WE,PS,PSE,275,
WI,EH,ESH,732,
YM,YE,YEM,887,
ZA,ZM,ZMB,894,
ZI,ZW,ZWE,716,
