id,parentId,name,description
726445,183809,macrosceloides,
726446,183803,azandica,
726447,183803,bleyenberghi,
726450,183803,krugeri,
726452,183803,melanochaita,South African Cape Lion
726454,183803,senegalensis,
726455,180593,onca,East Brazilian Jaguar
726456,180593,arizonensis,Arizona Jaguar
726457,180593,centralis,Central American Jaguar
726458,180593,goldmani,Yucatan Peninsula Jaguar
726459,180593,hernandesii,West Mexican Jaguar
726460,180593,palustris,
726461,180593,paraguensis,Paraguay Jaguar
726462,180593,peruviana,Peruvian Jaguar
726464,183804,pardus,
726465,183804,delacouri,
726466,183804,fusca,
726467,183804,japonensis,
726468,183804,kotiya,
726469,183804,melas,
726470,183804,nimr,
726471,183804,orientalis,
726472,183805,altaica,Amur tiger
726473,183805,amoyensis,South China tiger
726474,183805,balica,Balinese tiger
726475,183805,corbetti,Corbett's tiger
726476,183805,sondaica,Javan tiger
726477,183805,sumatrae,Sumatran tiger
726478,183805,virgata,Caspian tiger
933419,183808,diardi,
933421,552371,guttulus,
933424,183803,nubica,
933425,180593,veraecrucis,Northeastern Jaguar
933431,183804,saxicolor,
