name,lon,lat
Paraport Airstrip,-79.518586,41.788417
Aleknagik / New Airport,-158.617996216,59.2826004028
Honiara International Airport,160.05499267578,-9.4280004501343
Munda Airport,157.26300048828125,-8.327969551086426
Hongyuan Airport,102.35224,32.53154
Mar de Cortés International Airport,-113.305864,31.351621
Nauru International Airport,166.919006,-0.547458
Buka Airport,154.67300415039062,-5.4223198890686035
Chimbu Airport,144.9709930419922,-6.024290084838867
Daru Airport,143.207992554,-9.08675956726
Goroka Airport,145.391998291,-6.081689834590001
Gurney Airport,150.333999634,-10.3114995956
Girua Airport,148.309005737,-8.80453968048
Kimbe Airport,150.40499877929688,-5.462170124053955
Kerema Airport,145.770996094,-7.96361017227
Kavieng Airport,150.807998657,-2.57940006256
Madang Airport,145.789001465,-5.20707988739
Mount Hagen Kagamuga Airport,144.29600524902344,-5.826789855957031
Mendi Airport,143.656998,-6.14774
Momote Airport,147.423996,-2.06189
Nadzab Airport,146.725977,-6.569803
Port Moresby Jacksons International Airport,147.22000122070312,-9.443380355834961
Tokua Airport,152.380004883,-4.34045982361
Vanimo Airport,141.3028,-2.6926
Wapenamanda Airport,143.89500427246094,-5.6433000564575195
Wewak International Airport,143.669006348,-3.58383011818
Zabrat Airport,49.9768066406,40.4955422161
Sital Chay Airport,49.431481361399996,40.8073129238
Kyzylagadzh Air Base,48.806312084199995,39.006162267899995
Benguera Island Airport,35.43830108642578,-21.853300094604492
Bezmer Air Base,26.3521995544,42.4548988342
Aasiaat Airport,-52.7846984863,68.7218017578
Narsarsuaq Airport,-45.4259986877,61.1604995728
Godthaab / Nuuk Airport,-51.6781005859,64.19090271
Kangerlussuaq Airport,-50.7116031647,67.0122218992
Thule Air Base,-68.7032012939,76.5311965942
Akureyri Airport,-18.07270050048828,65.66000366210938
Egilsstaðir Airport,-14.401399612426758,65.2833023071289
Hornafjörður Airport,-15.2272,64.295601
Húsavík Airport,-17.426001,65.952301
Ísafjörður Airport,-23.135299682617188,66.05809783935547
Keflavik International Airport,-22.605600357056,63.985000610352
Reykjavik Airport,-21.9405994415,64.1299972534
Siglufjörður Airport,-18.9167,66.133301
Vestmannaeyjar Airport,-20.278900146484375,63.42430114746094
Priština International Airport,21.035801,42.5728
Balbasovo Air Base,30.29669952392578,54.439998626708984
Bobrovichi Air Base,29.360000610351562,52.27830123901367
Osovtsy Air Base,24.884000778199997,52.5569992065
Big Creek Airport,-88.40791320800781,16.51936912536621
Caye Caulker Airport,-88.03250122070312,17.734699249267578
Caye Chapel Airport,-88.04109954833984,17.7007999420166
Corozal Municipal Airport,-88.41190338134766,18.382200241088867
Dangriga Airport,-88.23098754882812,16.98250961303711
Placencia Airport,-88.36151123046875,16.536956787109375
Punta Gorda Airport,-88.80829620360001,16.102399826
Sartaneja Airport,-88.13079833984375,18.35610008239746
San Pedro Airport,-87.97109985351562,17.91390037536621
Belize City Municipal Airport,-88.19444274902344,17.516389846801758
Bazaruto Island Airport,35.4729,-21.5411
Cyll,-110.072021,53.310365
Cycd,-123.87085,49.05497
Nanjing Air Base,118.81199645996094,31.998300552368164
Laohutun Air Base,121.76599884033203,39.66999816894531
Pulandian Air Base,122.01799774169922,39.45090103149414
Beijing Shahezhen Air Base,116.3213882446289,40.149166107177734
Beijing Tongxian Air Base,116.70833587646484,39.81111145019531
Hedong Airport,106.393213889,38.322758333
Yuanmou Air Base,101.88200378418,25.737499237061
Fengning Air Base,116.61799621582031,41.260799407958984
Hohhot Air Base,111.22899627685547,40.73720169067383
Huairen Air Base,113.142997742,39.717498779299994
Liangxiangzhen Air Base,116.1259994506836,39.7578010559082
Tangguantun Air Base,117.06800079345703,38.78110122680664
Wenshui Air Base,111.96600341796875,37.407798767089844
Yangcun Air Base,117.09500122070312,39.37329864501953
Yongning Air Base,116.10800170898438,40.50310134887695
Zhangjiakou Ningyuan Airport,114.930000305,40.7386016846
Zunhua Air Base,117.88700103759766,40.102500915527344
Chengdu Air Base,103.94999694824219,30.705299377441406
Baoshan Yunduan Airport,99.168297,25.053301
Chongqing Air Base,106.35900115966797,29.49530029296875
Lintsang Airfield,100.025001526,23.738100051900002
Luliang Air Base,103.64199829101562,24.988300323486328
Mengzi Air Base,103.33399963378906,23.395299911499023
Qionglai Air Base,103.46499633789062,30.489999771118164
Shigatse Air Base,89.311401,29.3519
Wenshan Air Base,103.8270034790039,23.715599060058594
Xiangyun Midu Air Base,100.73500061035156,25.44529914855957
Bao'anying Airport,101.79852,26.54
Baihe Ning Ming Air Base,107.125,22.1205997467041
Changsha Datuopu Airport/AFB,112.958000183,28.0688991547
Dangyang Air Base,111.80999755859375,30.798599243164062
Foluo Northeast Air Base,109.16100311279297,18.69219970703125
Foshan Shadi Airport,113.069999695,23.083299636799996
Guiping Mengshu Air Base,110.00900268554688,23.330799102783203
Huizhou Airport,114.599998474,23.0499992371
Jialaishi Air Base,109.72599792480469,19.697200775146484
Leiyang Air Base,112.89199829101562,26.587200164794922
Lingshui Air Base,109.98799896240234,18.494400024414062
Shaoguan Guitou Airport,113.42099762,24.9785995483
Suixi Air Base,110.19999694824219,21.39579963684082
Jinggangshan Airport,114.736999512,26.856899261499997
Baise Youjiang Airport,106.959999084,23.7206001282
Xiaogan Air Base,113.91100311279297,30.95439910888672
Baitabu Air Base,118.875,34.5713996887207
Cangxian Air Base,116.92900085449219,38.40250015258789
Dongying Shengli Airport,118.788002014,37.5085983276
Jiaozhou/Jiaocheng Air Base,120.02400207519531,36.33060073852539
Jinan Air Base,116.9209976196289,36.67919921875
