Id	Label	Size
258	Sherlock Holmes	1
259	Jimmy the Scumbag	1
260	Ruth Powers	5
261	Fallout Boy	1
262	Sanjay Nahasapeemapetilon	5
263	The Rich Texan	4
264	Robert Siegel	1
265	Henry's wife	1
266	Maxine Lombard's assistant	1
267	Nellie Taft	1
268	Hippie	1
269	Blue-haired lawyer	2
270	Agnes Skinner	7
271	Seymour Asses	1
272	Nibbler	1
273	Isaac Asimov	1
274	Johnny Tightlips	1
275	Leela	1
276	Hedonismbot	1
277	Linda van Schoonhoven	1
278	Zoidberg	1
279	Scruffy	1
280	Professor Farnsworth	1
281	Philip J. Fry	1
282	Morbo	1
283	Boy with shades	3
284	Bender Rodríguez	2
285	Defonzo Palmer	1
286	Bongo	2
287	Eddie Muntz	1
288	New New York creatures	1
289	Herman Hermann	2
290	Jacques	1
291	Mrs. Mackleberry	2
292	Bender's Bounty	1
293	Thomas Jefferson	1
294	Hypnotoad	1
295	Lurleen Lumpkin	1
296	Hermes Conrad	1
297	Father and son	1
298	Lrrr	1
299	Ndnd	1
300	Jebediah Springfield	6
301	Amy Wong	1
302	Marcus Le Marquez	1
303	Springfield School District teacher	1
304	Springfield Nuclear Power Plant employee	2
305	Smitty	1
306	Spirit guide	1
307	Ms. Cantwell	1
308	Owl Haven ranger	1
309	Richard Nixon	1
310	City worker	1
311	Blazing Guy attendee	1
312	Eleanor Roosevelt	1
313	David Silverman	1
314	Jack Lassen	1
315	Jamaican musician	1
316	Lewis look-alike	6
317	Myra	1
318	Girl with glasses	4
319	Blazing Guy actor	1
320	Gwendolyn Hertzfeld-Mastroantonio	1
321	Jason Voorhees	1
322	Sticky-Fingers Stella	1
323	Brunella Pommelhorst	1
324	Principal Sackett	1
325	Calypso Self-Knowledge	1
326	Blazing Guy member	1
327	El Barto	5
328	John F. Kennedy	1
329	Evelyn Trunch	1
330	Audrey McConnell	3
331	Principal Weinberg	1
332	Bobby Kennedy	1
333	Covercraft	1
334	Sadgasm	1
335	Yoko Ono	1
336	Munchie	1
337	Genesis	1
338	Peter Gabriel	1
339	Robert Plant	1
340	John Bonham	1
341	Stig	1
342	King Toot	1
343	John Lennon	1
344	Old father	1
345	Tropical island waiter	1
346	Sammy Hagar	2
347	Pria Nahasapeemapetilan	1
348	The Who	1
349	Jimmy Page	1
350	Kearney Zzyzwicz, Jr.	2
351	Akira	2
352	Sashi Nahasapeemapetilon	1
353	Report Card	1
354	Guitar Central employee	1
355	Seth	1
356	Nabendu Nahasapeemapetilon	1
357	Jimi Hendrix	1
358	Anoop Nahasapeemapetilon	1
359	Springfield University student	1
360	Sandeep Nahasapeemapetilon	1
361	Led Zeppelin	1
362	Joe Walsh	1
363	Sungazer	1
364	Phil Collins	1
365	Michael Anthony	1
366	The Be Sharps	2
367	Uma Nahasapeemapetilon	1
368	Les Paul	1
369	Jim Morrison	1
370	Poonam Nahasapeemapetilon	1
371	Neon sign store manager	1
372	Henry X. Harper	1
373	Hobo	1
374	R3	1
375	Kang Johnson	2
376	Jonah Hill	1
377	The Thing	1
378	Santa Claus	1
379	Janey Powell	7
380	Seth Rogen	1
381	Crazy Cat Lady	3
382	The Hulk	1
383	Springfield Retirement Castle receptionist	1
384	Kodos Johnson	2
385	Blue	1
386	C-3PO parody	1
387	Vin Scully	1
388	God	6
389	Plopper	1
390	Burly	1
391	Isaac Newton	1
392	The Grumple	1
393	Moe Szyslak's mother	1
394	Milkman of the Future	1
395	Rigellian humanologist	1
396	Klaunax	1
397	Rigellian Lisa	1
398	Silver Surfer	1
399	Yoda	1
400	Roofi	1
401	Dizzneeland father	1
402	Rigel 7 Children's Choir	1
403	Rigellian queen	1
404	Larry H. Zeeblezorp	1
405	Michael D'Amico	1
406	Bagpipe Rigellian	1
407	Rigellian resistance	1
408	Jim-Jam Bonks	1
409	Tom Bosley	1
410	Rigellian announcer	1
411	Country Storm Trooper Jamboree	1
412	Space broccoli	1
413	Rigellian mother	1
414	Don Bookner	1
415	Andy Summers	1
416	El Homo	1
417	The Fat Lady	1
418	Radiated Springfield Nuclear Power Plant employee	1
419	Smilin' Joe Fission	1
420	Angelina Jolie	1
421	Booberella	1
422	World's Longest Fingernails	1
423	Buddy Ebsen	1
424	Drillbit Taylor	1
425	The 400-Year-Old Virgin	1
426	Fred Flintstone	1
427	Loki	1
428	Sven Golly	1
429	Itchy & Scratchy Land employee	1
430	Frankie the Squealer	1
431	Sting	1
432	The Police	1
433	KISS	1
434	Imaginer	1
435	Squawky	1
436	Elon Musk	3
437	Mailman	1
438	Benjamin	2
439	Gary	2
440	Henry Ford	1
441	Willy Wonka	1
442	Evelyn Peters	2
443	Drederick Tatum	3
444	Nedward Flanders, Sr.	1
445	Pharrell Williams	1
446	Charles M. Schulz	1
447	Leon Kompowsky	1
448	Blinky	1
449	Lana Wachowski	1
450	Dowager	1
451	Brittany Brockman	2
452	Grandpa Van Houten	1
453	Mr. Zörker	1
454	Augustus Gloop	1
455	Chase	2
456	Eleanor Abernathy	1
457	Overweight lady	1
458	Mr. Zzyzwicz	1
459	Francine Rhenquist	1
460	Howard K. Duff VIII	2
461	Grandma Van Houten	1
462	Jeremy Turley	2
463	Arnie Gumble	1
464	Andy Wachowski	1
465	Julio	3
466	Fat Albert	1
467	Dia-Betty	1
468	Roy Snyder	2
469	Waylon Smithers, Sr.	1
470	Bubbles	1
471	Mona Flanders	1
472	Jacqueline Bouvier	1
473	Michael Jackson	1
474	Harvey Milk	1
475	Gautama Buddha	1
476	J. D. Salinger	1
477	Dora Freedman	1
478	Mrs. Gumble	1
479	Waylon Smithers, Jr.	2
480	Professor X	1
481	Yeti	1
482	Mayor Quimby's body guards	2
483	Yutaka Nakamura	1
484	Albert	1
485	Clancy Bouvier	1
486	Hubert Wong	2
487	Miss Springfield	1
488	Young man	1
489	Grady	1
490	Jim Ignatowski	1
491	Queen	1
492	Indian taxi driver	1
493	Lady Duff	1
494	Slava	2
495	Springfield Mall security guard	2
496	NRC head inspector	1
497	Patrick Swayze	1
498	Grizzly Shaun	1
499	Brazilian taxi driver	1
500	Tammy	1
501	Swimming pool lifeguard	1
502	Jessica Lovejoy	2
503	Laney Fontaine	1
504	Freddie Mercury	1
505	Dewey	1
506	Mrs. Samson	1
507	Brian May	1
508	Jimmy Stewart	1
509	Karl	1
510	Cheery Red Tomatoes	1
511	Book club member	1
512	Pharm team male researcher	1
513	Dave Grohl	1
514	Mr. Costington	2
515	Perez Hilton	1
516	Ben Okri	1
517	Rainier Wolfcastle	4
518	Gillian	1
519	Chimamanda Ngozi Adichie	1
520	Richard Branson	1
521	Nigerian king	1
522	Chinua Achebe	1
523	Kevin	1
524	Princess Kemi	1
525	Patricia	1
526	Enrico Irritazio	1
527	The Hounds	1
528	Waiter	1
529	Gloria	1
530	Queen Elizabeth II	1
531	Pac-Man	1
532	Contractor	1
533	Chuck Bennett	1
534	Jerry	1
535	Señora Bumblebee Man	1
536	Uncle Stevie	1
537	Bill Kelley	1
538	Doug Blattner	1
539	Jennifer Yang	1
540	Casino security	1
541	Clancy Wiggins	1
542	Hanuman	1
543	Missy LeBeau	1
544	Fruit Bat Man	1
545	Joe Camel	1
546	Leslie Hapablap	1
547	Rajneesh Superstar	1
548	Dr. Schulman	1
549	Der Zip Zorp	1
550	Condoleezza Rice	1
551	Cat Deeley	1
552	Maude Flanders	2
553	Frito Bandito	1
554	Nahasapeemapetilon octuplets	1
555	Mr. Borton	1
556	James Cummings	1
557	Baz	2
558	J. Earl McLeod	1
559	Fireman	1
560	Grandma Flanders	1
561	Phonic Frog	1
562	Army colonel	1
563	Mach Ridley	1
564	Astrid Weller	2
565	Abu Nadal Abdul Nabal Nabu Dubal Nabadul Kashik	1
566	Jack Kerouac	1
567	Mr. Johnson	1
568	Mona Simpson	1
569	Valerie Frizzle	1
570	Puberty Demon	1
571	Cassidy	1
572	B. F. Skinner	1
573	Sleazy Sam	1
574	Increase	1
575	5th grade girl	1
576	Hester	1
577	Constance Harm	1
578	Johnny Mathis	1
579	Dr. Raufbold	1
580	Waldo	1
581	William Shakespeare	1
582	The Rock	1
583	Stradivarius Cain	1
584	Mr. Mackleberry	1
585	Black weasel	1
586	Karyn	1
587	Mrs. Clark	1
588	Yellow weasel	1
589	Charles Grodin	1
590	Wayne Slater	1
591	Joyce	1
592	Walt Warren	1
593	Winston Churchill	1
594	Stephen Hawking	1
595	Michael Bay	1
596	Girl with a headband	1
597	Megan Fox	1
598	Robert E. Lee	1
599	Russian general	1
